nama_pembeli,jumlah_transaksi
TOKO BERKAH DUA PUTRA,36
Warung Nak Zihan,32
TOKO BU YULI,31
TOKO BUNGUR,28
TOKO SIDAK,28
SAHABAT ANDA,27
TOKO MAJU TERUS,26
TOKO DEWI AFRITA ,23
TOKO RIZKI SAKYAH,23
TOKO NURFADILAH ,23
YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,19
TOKO KHET MEN ,17
TOKO FEBRIANTI INDAH LESTARI ,17
TOKO ENDANG SUSILAWATI ,16
TOKO ABANG HERIYANSYAH ,16
TOKO BUNAWI ,16
TOKO ENDANG HARTATI ,15
TOKO ABIZAR,15
TOKO IRVA,15
TOKO ARI YANTO ,15
TOKO SIMON SUMARDI ,15
TOKO MOMONG ALPINA ,15
TOKO MUNIR,14
TOKO BOB-i,14
TOKO KOTABARU,14
TOKO DARKUM KOPERASI DISPERINDAG ,13
TOKO ARDO,13
TOKO ALEXANDER Y. ,13
TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,12
TOKO NURDIAH ,12
TOKO AQIL,12
TOKO AMI,12
TOKO URAI INA KURNIA ,12
TOKO JERORA JAYA,12
TOKO APRIYANTO ,11
TOKO ANDREAS INDAH ,11
TOKO YENNI SUSILAWATI ,11
TOKO AIDI K.,11
TOKO DWI SUSILO ,10
TOKO DIDIK PRIOJADMIKO ,10
TOKO KIAN KIONG ,10
TOKO SARDIYANTO ,10
TOKO EKA SAPUTRA JAYA ,10
TOKO AGUSTINUS ,10
TOKO EKO BUDI WINASIS ,10
TOKO BERKAT USAHA,10
TOKO ANUGRAH,10
TOKO ASEP SAFRUDIN ,10
TOKO JUANTI ,10
TOKO SULASTRI AGUSTINI,10
TOKO AMRAN ,10
TOKO YAKOB ,10
TOKO ADELA,10
TOKO HIDAYAH,9
TOKO YOGI,9
TOKO HERI HARYANTO ,9
TOKO DWIANA MARYATI ,9
TOKO IMIN ,9
TOKO FATHULLAH ZIKRI,8
TOKO HENI LAY ,8
KARUNIA,8
TOKO SILVIANA ,8
TOKO SUNDARIANTO ,8
TOKO SOFIAN ,8
TOKO USAHA ,8
TOKO IDAWATI ,8
TOKO ALIKA,8
TOKO SYUHAINI,8
TOKO IIP KUSPOYO ,8
TOKO GERRY GUMILANG ,8
TOKO YUSMAN DABU,8
TOKO FAHRI,7
TOKO SUPER STOCK,7
TOKO KARDI ,7
TOKO ISNANI SITI RAFIAH ,7
TOKO SUKA SUKA,7
TOKO SIGID PAMBUDI ,7
ANAPSA,7
TOKO MIKA ERNAWATI ,7
TOKO JESAYA GINTING ,6
TOKO DIANA RISTA ,6
TOKO SUKARDI ,6
TOKO TOPIN,6
TOKO QOYIM MASYAHARI ,6
TOKO HERMANTO ,6
TOKO YULIANA ,6
TOKO DWI RETNO SAMUDRO,6
TOKO HERUNIAWATI,5
KOPERASI BRI MELAWI,5
TOKO DEB,5
TOKO KEDAI YUDA,5
Harya Sari,5
TOKO FAKHLI HARUDI ,5
ANDY,5
TOKO PRAYOGA ,5
TOKO DEDES,5
TOKO KARYA BINJAI,4
TOKO REVAN,4
TOKO BUMDES USAHA JAYA BERSAMA,4
TOKO HERU SUSANTO ,4
TOKO HERWIN ,4
TOKO APO,4
PT. BANK RAKYAT INDONESIA (PERSERO) Tbk.,4
TOKO ASUN ,4
TOKO FATMAWATI ,4
TOKO NURJANAH,4
TOKO APRILIA SUKRISNI,3
TOKO IFAL,3
TOKO ANDRI SUGIANTO ,3
TOKO WARUNG SANTI,3
TOKO PANISITAWATI HERMINA PAULA ,3
TOKO RAHMAD,3
TOKO MARDIUS ,3
TOKO ANTONIUS ,3
MEKAR SARI,3
TOKO LANSIA,3
TOKO KINORA,3
TOKO SUPARNO (SMS),3
TOKO M. DJAFARI (AFAR 99),3
TOKO AHMAD PUTRA ,3
TOKO DAVIS SUKA ,3
TOKO PESSY MIAR ,3
TOKO SRI MASMIDAH ,3
TOKO HERMANSYAH ,3
TOKO HENDRA. S ,3
TOKO FLORENTINA ,3
TOKO HANAFI,3
TOKO HARYATI ,2
TOKO CAH HERU ,2
TOKO AANG  DARMAWAN ,2
TOKO DOA IBU,2
Langkah Jaya,2
TPK PASAR JUNJUNG BUIH,2
TOKO RUDY ,2
TOKO BUMDES TERTUNG,2
TOKO SRI WAHYUNI ,2
Ummi,2
TOKO DHEMA,2
TOKO SYARBINUS PANGKAS ,2
TOKO SAPARNI ,2
TOKO. M. FAHRIZA,2
TOKO CHALLISTA,2
TOKO ASSYAKIRIN,2
TOKO. BUMDES JAYA ,2
TOKO MUHAMMAD JUMADI ,2
TOKO JANUR SAPUTRA ,2
HOLIDAY MART,2
TOKO SUYONO (BINTANG KAPUAS),2
TOKO SYAMSUDIN (INTAN MART),2
TOKO GATOT SUBROTO ,2
TOKO ENDANG RASMINI ,2
TOKO ALFONSO ,2
TOKO IGNASIUS SUNARNO ,2
TOKO SUBIANTO ,2
TOKO RUSMALA ,2
TOKO MUHAMMAD RONI ,2
RUDIMAS,1
TOKO DENY WIDODO ,1
TOKO ODONG SOBARI ,1
TOKO CUCUM ,1
TOKO ENGKON,1
TOKO RITA ROSANTI ,1
TOKO SAMSUL HIDAYAT ,1
TOKO JAYA SENTOSA,1
TOKO BAS JAYA,1
TOKO ALIF,1
TOKO ACAP ,1
TOKO SUMARSONO ,1
TOKO LINA ,1
TOKO SITI CHOMSAH ,1
TOKO SIMUS ,1
