bulan,nama_barang,total_kuantum
2020-01,BERAS,127040.0
2020-01,DAGING,2220.0
2020-01,MIGOR,696.0
2020-01,TEPUNG,500.0
2020-02,BERAS,223734.0
2020-02,DAGING,900.0
2020-02,MIGOR,504.0
2020-02,TEPUNG,280.0
2020-03,BERAS,152110.0
2020-03,DAGING,1160.0
2020-03,MIGOR,2400.0
2020-03,TEPUNG,220.0
2020-04,BERAS,67130.0
2020-04,DAGING,5560.0
2020-04,MIGOR,3300.0
2020-04,TEPUNG,1500.0
2020-05,BERAS,250000.0
2020-05,MIGOR,1804.0
2020-05,TEPUNG,500.0
2020-06,BERAS,117496.0
2020-06,GULA,195250.0
2020-06,MIGOR,1272.0
2020-06,TEPUNG,1000.0
2020-07,BERAS,169916.0
2020-07,GULA,3400.0
2020-07,TEPUNG,200.0
2020-08,BERAS,143987.0
2020-08,GULA,850.0
2020-08,TEPUNG,800.0
2020-09,BERAS,97916.0
2020-09,DAGING,100.0
2020-09,GULA,300.0
2020-10,BERAS,74189.0
2020-10,DAGING,140.0
2020-10,GULA,100.0
2020-10,MIGOR,3960.0
2020-10,TEPUNG,900.0
2020-11,BERAS,187765.0
2020-11,DAGING,430.0
2020-11,GULA,2008.0
2020-11,MIGOR,100.0
2020-11,TEPUNG,60.0
2020-12,BERAS,137945.0
2020-12,DAGING,315.0
2020-12,GULA,11256.0
2020-12,MIGOR,768.0
2020-12,TEPUNG,340.0
2021-01,BERAS,36600.0
2021-01,DAGING,1770.0
2021-01,GULA,1248.0
2021-01,MIGOR,1344.0
2021-01,TEPUNG,240.0
2021-02,BERAS,93800.0
2021-02,DAGING,870.0
2021-02,GULA,6560.0
2021-02,MIGOR,8000.0
2021-02,TEPUNG,360.0
2021-03,BERAS,6660.0
2021-03,DAGING,1870.0
2021-03,GULA,1824.0
2021-03,TEPUNG,800.0
2021-04,BERAS,78970.0
2021-04,DAGING,300.0
2021-04,GULA,640.0
2021-04,TEPUNG,320.0
