nama_pembeli,total_nominal
TOKO ENGKON,2047000000.0
TOKO AIDI K.,1955568240.0
TOKO ENDANG SUSILAWATI ,1394936500.0
TOKO DEWI AFRITA ,968623080.0
TOKO YAKOB ,539014900.0
TOKO HERWIN ,525000000.0
TOKO ANDREAS INDAH ,456947700.0
TOKO JESAYA GINTING ,440962500.0
TOKO FAKHLI HARUDI ,430245000.0
TOKO AGUSTINUS ,401352500.0
TOKO ARI YANTO ,390035200.0
TOKO BERKAT USAHA,377057300.0
TOKO ANTONIUS ,367500000.0
TOKO ANDRI SUGIANTO ,362250000.0
TOKO SUPARNO (SMS),335000000.0
TOKO FEBRIANTI INDAH LESTARI ,329832500.0
TOKO DIANA RISTA ,325500000.0
TOKO APO,323600000.0
TOKO NURFADILAH ,306652776.0
TOKO URAI INA KURNIA ,273406500.0
TOKO HERMANTO ,270779550.0
TOKO GERRY GUMILANG ,263699500.0
TOKO HERU SUSANTO ,262410000.0
TOKO ABANG HERIYANSYAH ,261798300.0
TOKO APRIYANTO ,258692750.0
TOKO YENNI SUSILAWATI ,256905000.0
TOKO SUYONO (BINTANG KAPUAS),252000000.0
TOKO IMIN ,247160000.0
TOKO BU YULI,236265665.0
TOKO ENDANG HARTATI ,235302500.0
TOKO ALEXANDER Y. ,220097750.0
TOKO SUKARDI ,212604000.0
TOKO PESSY MIAR ,209820000.0
TOKO KOTABARU,202484700.0
TOKO KIAN KIONG ,200310000.0
TOKO SRI MASMIDAH ,199365000.0
TOKO KHET MEN ,196172500.0
Warung Nak Zihan,193706988.0
TOKO DIDIK PRIOJADMIKO ,190953900.0
TOKO JUANTI ,180541000.0
TOKO IGNASIUS SUNARNO ,178320000.0
TOKO YULIANA ,177378950.0
TOKO BERKAH DUA PUTRA,173415968.0
TOKO PRAYOGA ,171455000.0
TOKO MAJU TERUS,168484910.0
TOKO SARDIYANTO ,168242500.0
TOKO SYARBINUS PANGKAS ,164850000.0
TOKO BUNAWI ,164311592.0
SAHABAT ANDA,162639700.0
TOKO EKA SAPUTRA JAYA ,161023400.0
TOKO SIMON SUMARDI ,143041200.0
TOKO SAPARNI ,142800000.0
TOKO SOFIAN ,141282500.0
TOKO ARDO,135605100.0
TOKO NURDIAH ,134214550.0
TOKO ABIZAR,132364350.0
TOKO KARDI ,131193000.0
TOKO DWI SUSILO ,130956310.0
TOKO BOB-i,130336700.0
TOKO BUNGUR,130196340.0
TOKO SIDAK,126482291.0
TOKO AQIL,122514476.0
TOKO HENI LAY ,120890250.0
TOKO PANISITAWATI HERMINA PAULA ,120697500.0
TOKO ALFONSO ,115410000.0
TOKO DEB,101831500.0
TOKO ISNANI SITI RAFIAH ,100730000.0
TOKO IRVA,100197750.0
TOKO ANUGRAH,98355500.0
TOKO RUDY ,94500000.0
TOKO RIZKI SAKYAH,94412150.0
TOKO IIP KUSPOYO ,85262500.0
TOKO SULASTRI AGUSTINI,84357120.0
TOKO SILVIANA ,80800600.0
TOKO DARKUM KOPERASI DISPERINDAG ,79567800.0
TOKO MUNIR,76147600.0
TOKO AMI,74212000.0
TOKO RITA ROSANTI ,73500000.0
TOKO SAMSUL HIDAYAT ,73500000.0
TOKO MARDIUS ,73477500.0
TOKO HERI HARYANTO ,72472600.0
TOKO SYAMSUDIN (INTAN MART),71200000.0
TOKO SIGID PAMBUDI ,69542100.0
TOKO APRILIA SUKRISNI,68927200.0
TOKO TOPIN,67650950.0
TOKO M. DJAFARI (AFAR 99),65770000.0
TOKO ASUN ,63796500.0
HOLIDAY MART,59500000.0
TOKO ADELA,58956810.0
TOKO HIDAYAH,57471700.0
TOKO YOGI,54140900.0
TOKO FAHRI,54061700.0
TOKO FATMAWATI ,53090000.0
TOKO SUMARSONO ,52425000.0
TOKO SYUHAINI,51874000.0
TOKO HARYATI ,50400000.0
TOKO MOMONG ALPINA ,49449884.0
TOKO JERORA JAYA,49369020.0
TOKO BUMDES USAHA JAYA BERSAMA,48143000.0
TOKO YUSMAN DABU,47902384.0
TOKO DAVIS SUKA ,47205000.0
TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,44154850.0
ANAPSA,43926000.0
TOKO ASEP SAFRUDIN ,43739800.0
TOKO DWIANA MARYATI ,43710000.0
TOKO SUKA SUKA,42889750.0
TOKO SUNDARIANTO ,42770900.0
TOKO MIKA ERNAWATI ,42007250.0
TOKO DENY WIDODO ,42000000.0
TOKO JAYA SENTOSA,42000000.0
TOKO LINA ,41940000.0
TOKO HERUNIAWATI,41168400.0
YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,40616000.0
